id,app_id,ccu,collected_at
8616,1241110,0,2026-05-24 17:42:29.703028
8617,1241510,0,2026-05-24 17:42:31.068954
8618,1241700,12,2026-05-24 17:42:32.406025
8619,1242700,0,2026-05-24 17:42:33.787863
8620,1243830,341,2026-05-24 17:42:35.020460
8621,1244090,239,2026-05-24 17:42:36.351485
8622,1244460,879,2026-05-24 17:42:37.621780
8623,1244800,94,2026-05-24 17:42:38.845317
8624,1245250,6,2026-05-24 17:42:40.335436
8625,1245620,39870,2026-05-24 17:42:41.592216
8626,1248130,5498,2026-05-24 17:42:42.850762
8627,1249040,18,2026-05-24 17:42:44.146635
8628,1249800,0,2026-05-24 17:42:45.542153
8629,1250410,3216,2026-05-24 17:42:46.759651
8630,1250760,3,2026-05-24 17:42:48.068093
8631,1250870,0,2026-05-24 17:42:49.373743
8632,1252330,118,2026-05-24 17:42:50.601767
8633,1252600,103,2026-05-24 17:42:51.938996
8634,1252780,233,2026-05-24 17:42:53.180157
8635,1253920,620,2026-05-24 17:42:54.408697
8636,1253950,0,2026-05-24 17:42:55.634813
8637,1254120,238,2026-05-24 17:42:56.901038
8638,1255630,16,2026-05-24 17:42:58.249852
8639,1256670,1212,2026-05-24 17:42:59.491496
8640,1257360,4,2026-05-24 17:43:00.714771
8641,1258080,3371,2026-05-24 17:43:01.932142
8642,1259420,2447,2026-05-24 17:43:03.173456
8643,1259790,100,2026-05-24 17:43:04.390603
8644,1259970,1081,2026-05-24 17:43:05.629673
8645,1259980,67,2026-05-24 17:43:06.947253
8646,1260320,1738,2026-05-24 17:43:08.214422
8647,1260920,0,2026-05-24 17:43:09.560931
8648,1261040,58,2026-05-24 17:43:10.880336
8649,1262060,0,2026-05-24 17:43:12.299075
8650,1262240,62,2026-05-24 17:43:13.618224
8651,1262350,168,2026-05-24 17:43:14.869178
8652,1262540,226,2026-05-24 17:43:16.100702
8653,1262580,298,2026-05-24 17:43:17.350947
8654,1262600,74,2026-05-24 17:43:18.580054
8655,1263370,0,2026-05-24 17:43:19.888754
8656,1263550,65,2026-05-24 17:43:21.217456
8657,1263850,971,2026-05-24 17:43:22.547510
8658,1264250,152,2026-05-24 17:43:23.793402
8659,1264280,20,2026-05-24 17:43:25.155522
8660,1264670,0,2026-05-24 17:43:26.489094
8661,1265920,256,2026-05-24 17:43:27.758225
8662,1266680,0,2026-05-24 17:43:29.095005
8663,1266840,73,2026-05-24 17:43:30.355595
8664,1267470,0,2026-05-24 17:43:31.696512
8665,1267540,80,2026-05-24 17:43:32.942051
8666,1267910,2616,2026-05-24 17:43:34.189270
8667,1268750,398,2026-05-24 17:43:35.433132
8668,1269370,52,2026-05-24 17:43:36.753676
8669,1270580,202,2026-05-24 17:43:37.988934
8670,1271700,59,2026-05-24 17:43:39.320112
8671,1272080,1193,2026-05-24 17:43:40.618254
8672,1272160,47,2026-05-24 17:43:41.965314
8673,1272320,513,2026-05-24 17:43:43.292784
8674,1273400,586,2026-05-24 17:43:44.532436
8675,1273710,16,2026-05-24 17:43:45.890389
8676,1274290,1,2026-05-24 17:43:47.353939
8677,1274570,923,2026-05-24 17:43:48.670362
8678,1275350,171,2026-05-24 17:43:49.916334
8679,1275630,1,2026-05-24 17:43:51.262195
8680,1275670,41,2026-05-24 17:43:52.597895
8681,1275890,264,2026-05-24 17:43:53.854401
8682,1276760,35,2026-05-24 17:43:55.139837
8683,1276790,50,2026-05-24 17:43:56.552168
8684,1277400,249,2026-05-24 17:43:57.816112
8685,1278060,144,2026-05-24 17:43:59.134519
